#Settings
,Signal to Noise Ratio,Window size,Lower frequency bound,Upper frequency bound,Skip similar frequency regions,Chancel run after 10 similar frequencies,Ignore unsignificant frequencies number
0,3.5,2.0,,,False,True,0


#Statistics
,Duty cycle,Nyquist frequency,Total number of found frequencies
0,0.9207659413648241,360.0019637387029,95


#Result
f_nr,frequency,amp,phase,snr,res_noise,significant
68,11.87488+/-0.00007,0.000142+/-0.000020,0.831+/-0.022,5.711732517878127,-3.3441368691766625e-05,True
69,31.30088+/-0.00007,0.000137+/-0.000020,0.484+/-0.023,5.185418584680643,-3.3432694698916713e-05,True
70,11.97336+/-0.00007,0.000136+/-0.000020,0.801+/-0.023,5.66416495406668,-3.348714461645755e-05,True
71,13.17295+/-0.00007,0.000134+/-0.000020,0.073+/-0.024,5.872691573228247,-3.3530409911813795e-05,True
72,26.83357+/-0.00007,0.000133+/-0.000020,0.303+/-0.024,4.822948243097113,-3.3489393669103715e-05,True
73,2.38732+/-0.00007,0.000130+/-0.000020,0.999+/-0.024,9.496205427029135,-3.355854331755555e-05,True
74,27.33072+/-0.00007,0.000129+/-0.000020,0.064+/-0.025,5.392742613515748,-3.356669257295322e-05,True
75,25.33022+/-0.00007,0.000128+/-0.000020,0.536+/-0.025,4.120766315045499,-3.354193479023405e-05,True
76,29.07879+/-0.00007,0.000127+/-0.000020,0.081+/-0.025,5.488754869126218,-3.348483147907069e-05,True
77,3.58183+/-0.00007,0.000126+/-0.000020,0.487+/-0.025,9.922987050930056,-3.3090267169106144e-05,True
78,33.85130+/-0.00007,0.000125+/-0.000020,0.500+/-0.025,7.494803787311485,-3.310067066715625e-05,True
79,33.85098+/-0.00004,0.000249+/-0.000020,0.523+/-0.013,13.607093709618912,-3.307585853684518e-05,True
80,0.34766+/-0.00007,0.000125+/-0.000020,0.341+/-0.025,3.597497300812601,-2.9571576623754155e-05,True
81,11.29585+/-0.00008,0.000121+/-0.000020,0.537+/-0.026,5.197114339089279,-2.9853558323011047e-05,True
82,29.65278+/-0.00008,0.000121+/-0.000020,0.652+/-0.026,5.071340753622395,-2.9995416018759477e-05,True
